,Codes,SynData_predicted,Para1,Para3,Para2
0,0.6095000000000002,0.17929883623464837,7.0,1.0,10.0
1,0.6905000000000001,0.01806484342145609,7.0,10.0,1.0
2,0.5825,0.10101921610893472,6.0,9.0,3.0
3,0.5235,0.10369563270519211,6.0,3.0,4.0
4,0.4525,0.06970905931473137,5.0,6.0,3.0
5,0.1775,0.03906547117067305,2.0,8.0,8.0
6,0.7645,0.034184164418209484,8.0,7.0,5.0
7,0.9715,0.12784557248579276,10.0,8.0,2.0
8,0.21950000000000003,0.02331878555788247,3.0,2.0,10.0
9,0.6525000000000001,0.15472296116341067,7.0,6.0,3.0
10,0.8634999999999999,0.015811787409043987,9.0,7.0,4.0
11,0.1675,0.0003331777621440324,2.0,7.0,8.0
12,0.3825,0.06684180107768078,4.0,9.0,3.0
13,0.5075000000000001,0.1864664081130809,6.0,1.0,8.0
14,0.47250000000000003,0.02196813489513527,5.0,8.0,3.0
15,0.8965000000000001,0.03286128255973253,9.0,10.0,7.0
16,0.2635,0.01790965019429036,3.0,7.0,4.0
17,0.9225000000000001,0.034547605491979994,10.0,3.0,3.0
18,0.9375,0.40783346551745225,10.0,4.0,8.0
19,0.15250000000000002,0.13216830579898264,2.0,6.0,3.0
20,0.1345,0.043181295701905764,2.0,4.0,5.0
21,0.0915,0.2313359452512742,1.0,10.0,2.0
22,0.4845,0.09406101914868703,5.0,9.0,5.0
23,0.6585000000000001,0.16119832838793036,7.0,6.0,9.0
24,0.9115,0.21712115328313697,10.0,2.0,2.0
25,0.22250000000000003,0.1719304384086544,3.0,3.0,3.0
26,0.0135,0.03889851011093182,1.0,2.0,4.0
27,0.8255000000000001,0.07451599570898804,9.0,3.0,6.0
28,0.9085000000000001,0.17088213253066442,10.0,1.0,9.0
29,0.34550000000000003,0.12389905139682544,4.0,5.0,6.0
30,0.31450000000000006,0.008482313183976409,4.0,2.0,5.0
31,0.9305000000000001,0.008838058168213259,10.0,4.0,1.0
32,0.5025,0.1647750052200747,6.0,1.0,3.0
33,0.15350000000000003,0.02174270657347499,2.0,6.0,4.0
34,0.5095000000000001,0.031375704372087254,6.0,1.0,10.0
35,0.9155000000000001,0.2536620440290296,10.0,2.0,6.0
36,0.7415,0.16565646024330372,8.0,5.0,2.0
37,0.21050000000000002,0.2633624807513213,3.0,2.0,1.0
38,0.7105000000000001,0.12339923386197293,8.0,2.0,1.0
39,0.22650000000000003,0.011171267378784933,3.0,3.0,7.0
40,0.4355,0.030622758197515143,5.0,4.0,6.0
41,0.9345000000000001,0.039067237421957834,10.0,4.0,5.0
42,0.30450000000000005,0.09302431834896263,4.0,1.0,5.0
43,0.10350000000000001,0.10562011930723658,2.0,1.0,4.0
44,0.5595000000000001,0.16361713137368517,6.0,6.0,10.0
